Heat Score,Lead Score,Tier,Priority,Org Name,Taxonomy / Type,NPI,City,State,ZIP,Phone,Known Contact,Known Contact Title,Known Contact LinkedIn,Backup Person,Backup Person Title,Backup Person LinkedIn,Employee LinkedIn 1,Employee LinkedIn 2,Employee LinkedIn 3,Company LinkedIn,Company People Search,Notes,Tags
122,82,A,High,A TOX LABORATORY LLC,Clinical Medical Laboratory,1689186231,CHERRY HILL,NJ,080032144,,,,,,,,,,,,https://www.bing.com/search?q=%22A%20TOX%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: tox lab;Name signal (+): tox;Priority market: NJ,tier-A;lab;rule-intercept
122,82,A,High,ACIES MOLECULAR LAB LLC,Clinical Medical Laboratory,1518600758,NEW ALBANY,IN,47150,,,,,,,,,,,,https://www.bing.com/search?q=%22ACIES%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: IN,tier-A;lab;rule-intercept
122,82,A,High,ADVANCED GENETICS,Clinical Medical Laboratory,1407450760,MIAMI,FL,331666694,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20GENETICS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: genetics;Name signal (+): advanced;Priority market: FL,tier-A;lab;rule-intercept
122,82,A,High,ADVANCED GENETICS LAB LLC,Clinical Medical Laboratory,1952804080,MONROE,CT,064682809,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20GENETICS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: genetics;Name signal (+): advanced;Priority market: CT,tier-A;lab;rule-intercept
122,82,A,High,ADVANCED GENOMICS INC,Clinical Medical Laboratory,1518690627,FEASTERVILLE TREVOSE,PA,190536100,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20GENOMICS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: genomics;Name signal (+): advanced;Priority market: PA,tier-A;lab;rule-intercept
122,82,A,High,"ADVANCED GENOMICS, LLC",Clinical Medical Laboratory,1437544038,HOUSTON,TX,770432317,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20GENOMICS%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: genomics;Name signal (+): advanced;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,"ADVANCED MOLECULAR DIAGNOSTICS, LLC",Clinical Medical Laboratory,1790023547,MONTVALE,NJ,076451223,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: NJ,tier-A;lab;rule-intercept
122,82,A,High,ADVANCED TOXICOLOGY,Clinical Medical Laboratory,1073898748,DENTON,TX,762051211,,,,,,,,,,,,https://www.bing.com/search?q=%22ADVANCED%20TOXICOLOGY%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: toxicology;Name signal (+): advanced;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,"AK MOLECULAR DIAGNOSTIC LABORATORY, LLC",Clinical Medical Laboratory,1215014493,WACO,TX,767123786,,,,,,,,,,,,https://www.bing.com/search?q=%22AK%20MOLECULAR%20DIAGNOSTIC%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX,tier-A;lab;rule-intercept
122,82,A,High,AMERICAN MOLECULAR LABORATORIES INC,Clinical Medical Laboratory,1982142402,VERNON HILLS,IL,600611590,,,,,,,,,,,,https://www.bing.com/search?q=%22AMERICAN%20MOLECULAR%22%20site%3Alinkedin.com/company%20people%20employees,Tier A | RuleScore 82 | Lab Type: Clinical Medical Laboratory | Signals: Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL,tier-A;lab;rule-intercept
