Company Name,City,State,Zip,NPI,CLIA,License ID,Money Score,Pain Score,Fit Score,Total Score,Target Roles
UNIVERSITY MEDICAL CENTER CORPORATION,TUCSON,AZ,857240001,1154473171,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
TUCSON MEDICAL CENTER,TUCSON,AZ,857122805,1689200230,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
WYOMING MEDICAL CENTER CLINICAL LAB,CASPER,WY,826012926,1700127040,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
COMMUNITY HOSPITAL CLINICAL LAB,TALLASSEE,AL,360781234,1568590339,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ADVANCE CARE HOSPITAL,HOT SPRINGS,AR,719136406,1336393461,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
AFFINITY HOSPITAL LLC,BIRMINGHAM,AL,352131908,1760685523,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
WYTHE COUNTY COMMUNITY HOSPITAL LLC,WYTHEVILLE,VA,243821044,1518167097,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MEMORIAL HOSPITAL OF BOSCOBEL,BOSCOBEL,WI,538051642,1386819985,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CITY OF HOPE NATIONAL MEDICAL CENTER,DUARTE,CA,910103012,1093083776,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DOCTORS MEDICAL CENTER,MODESTO,CA,953505413,1528095015,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ENLOE MEDICAL CENTER,CHICO,CA,959263310,1912020181,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CHILDREN'S HOSPITAL COLORADO,COLORADO SPRINGS,CO,809207804,1194337493,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"LA BELLA FLEUR BIRTHING HOSPITAL, INC",GREENWOOD VILLAGE,CO,801112004,1174351084,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
