org_name,city,state,zip,npi,clia,license_id,lab_type,engine_score,money_score,pain_score,fit_score,tier,rule_score,priority,signals
"GULF COAST MOLECULAR LABORATORIES, LLC",SPANISH FORT,AL,36527,1780160770,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: AL
PROTEUS MOLECULAR AND CLINICAL LAB LLC,HOMEWOOD,AL,35209,1538542196,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: AL
INTEGRATED MOLECULAR DIAGNOSTICS LABORATORY,CHANDLER,AZ,852243665,1063106896,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: AZ
TUCSON SPECIALTY LABS LLC,TUCSON,AZ,857501925,1922723899,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: AZ
"ARIZONA PRECISION MEDICINE, PLLC",PHOENIX,AZ,850042364,1235759630,,,"Pathology, Molecular Genetic Pathology",3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): precision;Priority market: AZ
PRECISION EPIGENOMICS INC.,TUSCON,AZ,857111816,1699503060,,,"Pathology, Molecular Genetic Pathology",3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): precision;Priority market: AZ
CARIS MOLECULAR PATHOLOGY,PHOENIX,AZ,85040,1548539661,,,"Pathology, Anatomic Pathology & Clinical Pathology",3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: AZ
CORDELL LABS LLC DBA SPECIALTY LABORATORIES,EL CAJON,CA,920200911,1801738364,,,"Spec/Tech, Pathology, Laboratory Management",3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: CA
"AMERICAN SPECIALTY LABORATORY , INC",CHATSWORTH,CA,913114416,1316200504,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: specialty lab;Name signal (+): specialty;Priority market: CA
APMG MOLECULAR DIAGNOSTICS,LA MESA,CA,919423020,1720266174,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: CA
"ARISTA MOLECULAR, INC.",CARLSBAD,CA,920111414,1114232006,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA
"ARTEMIS DNA CA, LLC",IRVINE,CA,926184615,1639768641,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: CA
CALIFORNIA MOLECULAR REFERENCE LABORATORIES,LAGUNA HILLS,CA,926533650,1568698512,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA
DNA MOLECULAR SCIENCES LLC,IRVINE,CA,926145563,1154051977,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: CA
"INTEGRATED MOLECULAR DIAGNOSTICS PATHOLOGY, INC.",AURORA,CO,800457335,1770977951,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: CO
ADVANCED GENETICS LAB LLC,MONROE,CT,064682809,1952804080,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genetics;Name signal (+): advanced;Priority market: CT
"DNA GENETICS LAB, LLC",NEW HAVEN,CT,065113107,1528401544,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genetics;Name signal (+): dna;Priority market: CT
DNA MED TUNING,HARTFORD,CT,061062515,1174179972,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: CT
MOLECULAR DIAGNOSTIC LABORATORY LLC,WALLINGFORD,CT,064921884,1730292822,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: CT
"PRECISION TOXICOLOGY, LLC",WEST HARTFORD,CT,061191505,1114319563,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): precision;Priority market: CT
ADVANCED GENETICS,MIAMI,FL,331666694,1407450760,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: genetics;Name signal (+): advanced;Priority market: FL
